interview__key,sdd_hhid,sdd_indid,hh_g301,hh_g302
09-03-93-64,0111-001-001,4,,
49-60-00-77,0112-001-001,1,YES,2
49-60-00-77,0112-001-001,5,YES,1
49-60-00-77,0112-001-001,6,YES,1
51-56-43-08,0112-001-002,1,,
51-56-43-08,0112-001-002,2,YES,1
51-56-43-08,0112-001-002,3,YES,1
51-56-43-08,0112-001-002,4,,
51-56-43-08,0112-001-002,5,,
80-23-77-43,0113-001-001,1,YES,1
80-23-77-43,0113-001-001,3,,
80-23-77-43,0113-001-001,4,,
80-23-77-43,0113-001-001,6,NO,
80-23-77-43,0113-001-001,7,,
80-23-77-43,0113-001-001,8,,
86-56-84-14,0113-002-001,1,YES,1
86-56-84-14,0113-002-001,2,,
86-56-84-14,0113-002-001,3,,
86-56-84-14,0113-002-001,4,YES,1
86-56-84-14,0113-002-001,5,,
86-56-84-14,0113-002-001,7,,
95-71-62-51,0114-001-001,1,YES,1
95-71-62-51,0114-001-001,2,YES,1
35-20-92-57,0115-001-001,1,NO,
35-20-92-57,0115-001-001,3,,
61-55-11-19,0115-001-002,1,YES,1
61-11-91-19,0118-001-001,1,NO,
61-11-91-19,0118-001-001,2,NO,
61-11-91-19,0118-001-001,3,,
67-13-31-42,0119-001-001,1,,
67-13-31-42,0119-001-001,3,,
67-13-31-42,0119-001-001,4,,
67-13-31-42,0119-001-001,5,,
67-13-31-42,0119-001-001,6,,
67-13-31-42,0119-001-001,7,YES,1
67-13-31-42,0119-001-001,8,YES,1
67-13-31-42,0119-001-001,9,,
67-13-31-42,0119-001-001,10,YES,1
16-86-84-80,0119-001-002,1,YES,1
98-32-46-89,0120-001-001,1,NO,
98-32-46-89,0120-001-001,2,YES,1
98-32-46-89,0120-001-001,3,,
11-41-50-08,0121-002-001,1,YES,1
11-41-50-08,0121-002-001,2,YES,1
11-41-50-08,0121-002-001,3,,
11-41-50-08,0121-002-001,4,,
11-41-50-08,0121-002-001,7,,
11-41-50-08,0121-002-001,8,,
11-41-50-08,0121-002-001,9,,
20-26-27-46,0121-004-001,1,NO,
20-26-27-46,0121-004-001,3,,
20-26-27-46,0121-004-001,4,YES,1
51-99-30-00,0122-001-001,1,YES,1
94-57-72-83,0122-001-002,1,NO,
43-50-47-25,0122-001-003,1,YES,1
43-50-47-25,0122-001-003,2,YES,1
43-50-47-25,0122-001-003,3,,
43-50-47-25,0122-001-003,4,YES,1
43-50-47-25,0122-001-003,5,,
43-50-47-25,0122-001-003,6,,
43-50-47-25,0122-001-003,7,NO,
43-50-47-25,0122-001-003,8,YES,1
43-50-47-25,0122-001-003,9,,
38-83-27-01,0123-001-001,1,YES,1
38-83-27-01,0123-001-001,2,YES,1
38-83-27-01,0123-001-001,3,YES,1
73-91-37-79,0124-001-001,1,YES,1
73-91-37-79,0124-001-001,2,,
73-91-37-79,0124-001-001,3,YES,1
73-91-37-79,0124-001-001,4,,
85-36-20-21,0124-002-001,1,YES,1
85-36-20-21,0124-002-001,2,YES,1
85-36-20-21,0124-002-001,3,,
