interview__key,sdd_hhid,cropid,ag7a_02,ag7a_03,ag7a_04,ag7a_05_1,ag7a_05_2,ag7a_06_1,ag7a_06_2,ag7a_07_1a,ag7a_07_1b,ag7a_07_2a,ag7a_07_2b,ag7a_08,ag7a_09,ag7a_10,ag7a_11,ag7a_12,ag7a_13,ag7a_14,ag7a_15,ag7a_16,ag7a_17,ag7a_18,ag7a_19,ag7a_20,ag7a_21
44-39-10-22,0134-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,0,0,0,0,0
49-77-74-54,0136-001-001,55,YES,10,6000,2,,1,2,JIRANI,NDANI YA KIJIJI/MJI,JIRANI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,20,0,0,0,0
49-77-74-54,0136-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,4,0,0,0,0
21-87-07-74,0137-001-001,55,YES,24,6000,1,,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,62,0,0,32,0
21-87-07-74,0137-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,10,0
91-46-77-86,0137-003-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,150,0,0,0,0
91-46-77-86,0137-003-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,100,0,0,10,0
91-46-77-86,0137-003-001,103,NO,,,,,,,,,,,NO,,,,,NO,,,,8,0,0,5,0
51-16-04-26,0139-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,48,0,0,0,0
51-16-04-26,0139-001-001,57,NO,,,,,,,,,,,NO,,,,,YES,ROTTING,5,18000,60,0,0,60,0
51-16-04-26,0139-001-001,58,NO,,,,,,,,,,,NO,,,,,NO,,,,24,0,0,0,0
78-88-97-43,0140-002-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,48,0,0,0,0
43-41-40-08,0142-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,100,0,0,200,0
45-56-78-16,0142-006-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,100,0
70-42-29-42,0143-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,200,0,0,0,0
38-77-50-86,0147-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,140,0,0,0,0
04-84-88-57,0155-001-001,58,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,3,0
04-84-88-57,0155-001-001,85,NO,,,,,,,,,,,NO,,,,,NO,,,,9,0,0,0,0
88-54-76-45,0159-001-002,55,NO,,,,,,,,,,,NO,,,,,NO,,,,90,0,0,0,0
