interview__key,sdd_hhid,plotnum,cropid,ag6b_02,ag6b_03,ag6b_04,ag6b_05,ag6b_06,ag6b_06a,ag6b_07_1,ag6b_07_2,ag6b_07_3,ag6b_07_4,ag6b_08_1,ag6b_08_2,ag6b_09,ag6b_10,ag6b_11
38-83-27-01,0123-001-001,2,30,1,2017,0,NO,,HAPANA,,,,,,,,,
40-08-98-18,0127-003-001,2,48,100,2019,100,YES,OTHER (SPECIFY),HAPANA,,,,,,,,,
40-08-98-18,0127-003-001,2,98,3000,2019,3000,YES,OTHER (SPECIFY),HAPANA,,,,,,,,,
87-27-18-80,0128-001-001,2,10,20,2017,8,NO,,NDIYO,2018,AUGUST,2018,OCTOBER,1,2,60,NO,
18-53-46-11,0131-001-002,1,30,12,2000,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JUNE,2018,DECEMBER,1,2,180,NO,
18-53-46-11,0131-001-002,2,10,45,2018,45,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
18-53-46-11,0131-001-002,2,30,3,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
91-46-77-86,0137-003-001,2,29,2,2004,0,YES,OTHER (SPECIFY),HAPANA,,,,,,,,,
91-46-77-86,0137-003-001,2,30,2,2008,0,YES,OTHER (SPECIFY),NDIYO,2018,DECEMBER,2019,NOVEMBER,1,,120,NO,
91-46-77-86,0137-003-001,2,98,3,2006,0,YES,OTHER (SPECIFY),HAPANA,,,,,,,,,
43-41-40-08,0142-001-001,1,10,50,2018,50,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
45-56-78-16,0142-006-001,1,10,50,2018,50,NO,,HAPANA,,,,,,,,,
70-42-29-42,0143-001-001,3,10,150,2018,100,NO,,NDIYO,2019,JANUARY,2019,MARCH,1,,120,NO,
42-47-45-53,0149-001-009,1,20,15,2018,15,NO,,NDIYO,2019,MAY,2019,JULY,2,,40,NO,
04-84-88-57,0155-001-001,1,30,1,1990,0,NO,,NDIYO,2018,JUNE,2019,JULY,1,,50,NO,
88-54-76-45,0159-001-002,2,98,3,2010,0,NO,,HAPANA,,,,,,,,,
36-54-74-87,0180-001-007,1,30,2,2011,0,NO,,NDIYO,2018,OCTOBER,2019,SEPTEMBER,1,2,30,NO,
55-87-10-73,0187-001-001,1,30,1,2006,0,NO,,NDIYO,2018,JUNE,2019,MAY,1,2,50,NO,
22-19-42-39,0188-001-001,1,10,70,2017,24,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,FEBRUARY,2019,MARCH,1,2,60,YES,INSECTS
22-19-42-39,0188-001-001,1,30,1,2017,3,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JANUARY,2019,MARCH,1,2,48,NO,
22-19-42-39,0188-001-001,1,98,2,2019,2,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
56-90-38-75,0199-001-001,1,31,1,1900,0,NO,,HAPANA,,,,,,,,,
83-06-62-27,0208-004-001,1,10,200,2018,0,NO,,NDIYO,2018,NOVEMBER,2018,NOVEMBER,1,,72,NO,
43-96-13-63,0216-001-001,1,30,3,2019,3,NO,,HAPANA,,,,,,,,,
43-96-13-63,0216-001-001,1,44,3,2017,0,NO,,HAPANA,,,,,,,,,
11-90-11-27,0216-006-001,1,30,4,2016,0,NO,,NDIYO,2018,SEPTEMBER,2019,OCTOBER,1,,135,NO,
67-31-73-27,0223-001-001,2,98,4,2018,4,NO,,HAPANA,,,,,,,,,
32-98-50-34,0232-001-001,1,30,2,1997,0,NO,,NDIYO,2018,OCTOBER,2019,SEPTEMBER,1,,50,NO,
02-85-17-16,0241-001-001,1,96,1,2008,0,NO,,NDIYO,2018,JULY,2019,JUNE,1,2,50,NO,
99-85-97-80,0242-001-001,2,10,50,2018,20,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,50,NO,
29-56-58-07,0249-001-001,1,98,8,1998,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
66-44-07-30,0255-001-001,1,30,1,2007,0,NO,,NDIYO,2018,SEPTEMBER,2019,AUGUST,1,2,5,NO,
66-44-07-30,0255-001-001,1,44,5,2014,0,NO,,NDIYO,2018,SEPTEMBER,2019,AUGUST,1,2,12,NO,
42-84-07-76,0255-001-009,1,10,20,2018,5,NO,,NDIYO,2018,DECEMBER,2019,NOVEMBER,1,,30,NO,
56-73-22-28,0257-001-001,1,44,10,2019,6,NO,,NDIYO,2019,JULY,2019,SEPTEMBER,1,2,10,NO,
12-03-97-45,0260-001-001,1,44,15,2017,0,NO,,NDIYO,2018,JULY,2019,JUNE,1,,20,NO,
08-95-27-37,0267-001-001,1,30,6,1963,0,YES,OTHER (SPECIFY),NDIYO,2018,APRIL,2019,MARCH,1,,60,NO,
08-95-27-37,0267-001-001,1,31,43,1963,0,YES,OTHER (SPECIFY),NDIYO,2018,OCTOBER,2018,DECEMBER,1,,90,YES,THEFT
08-95-27-37,0267-001-001,2,30,18,1963,0,YES,OTHER (SPECIFY),HAPANA,,,,,,,,,
08-95-27-37,0267-001-001,2,31,20,1963,0,NO,,HAPANA,,,,,,,,,
08-95-27-37,0267-001-001,4,30,7,1963,0,YES,OTHER (SPECIFY),HAPANA,,,,,,,,,
08-95-27-37,0267-001-001,4,31,30,1963,0,YES,OTHER (SPECIFY),HAPANA,,,,,,,,,
61-93-73-52,0267-001-005,1,10,84,2018,36,NO,,NDIYO,2018,SEPTEMBER,2018,DECEMBER,1,2,60,NO,
61-93-73-52,0267-001-005,1,31,5,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,SEPTEMBER,2019,JANUARY,1,2,70,NO,
99-73-94-40,0268-001-001,1,31,22,1900,0,NO,,NDIYO,2018,SEPTEMBER,2018,OCTOBER,1,,150,YES,THEFT
